web-scraper-order,web-scraper-start-url,latest_video,latest_video-href,recommended_video,recommended_video-href
"1768103823-50","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","If You're an Engineer, This is for YOU | Don McMillan Full Stand-Up Special","https://www.youtube.com/watch?v=QatYbWusODk&pp=ugUEEgJlbg%3D%3D"
"1768103823-51","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","California Governor Loses Control as Hundreds of Gas Stations Shut Down | Elizabeth Davis","https://www.youtube.com/watch?v=e-MgyB_Mmp0&pp=0gcJCU0KAYcqIYzv"
"1768103823-52","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Tim Conway's Hilarious First Appearance","https://www.youtube.com/watch?v=SCMU176TYNc&pp=ugUHEgVlbi1VUw%3D%3D"
"1768103823-53","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Typical Soviet Apartment Tour (How Russian People REALLY Live)","https://www.youtube.com/watch?v=B5Ncxd2GljE&pp=ugUHEgVlbi1HQg%3D%3D"
"1768103823-54","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Psaki, Maddow EVISCERATED over hypocritical’ pivot after Maduro capture","https://www.youtube.com/watch?v=DIwkl3XYb2I"
"1768103823-55","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Criminal referrals DETONATE as Minnesota fraud case spirals","https://www.youtube.com/watch?v=waHN9qz1i1o"
"1768103823-56","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Greg Gutfeld: Walz always seems to be in a panic","https://www.youtube.com/watch?v=rWS-KLnNbG8"
"1768103823-57","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","WATCH: Shouting match at Minnesota fraud hearing","https://www.youtube.com/watch?v=2-fDfWNwU4w"
"1768103823-58","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","50 Funniest SNL Moments of The Last 50 Years","https://www.youtube.com/watch?v=6ht3zgz1k_k"
"1768103823-59","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Jimmy Carr Is Horrified by What Teenagers Are Doing In 2026","https://www.youtube.com/watch?v=tdjnA2gXDKs"
